Description,Year,Quarter,Month,DateofWeek,Hour,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,ShipmentProvider,WarehouseLocation,Actual_Quantity,Predicted_Quantity
Wall Clock,2024,Q1,Mar,Sat,14,99.8,Netherlands,0.24,Credit Card,13.46,Electronics,UPS,Paris,15,23.34
Office Chair,2024,Q2,Apr,Sun,23,9.67,Belgium,0.05,Bank Transfer,12.49,Apparel,FedEx,Berlin,47,27.01
White Mug,2021,Q2,May,Tue,11,35.87,Netherlands,0.18,Credit Card,18.47,Stationery,DHL,Paris,43,22.67
White Mug,2022,Q2,Jun,Sun,22,-93.46,Netherlands,1.702296639,Bank Transfer,,Furniture,DHL,,-2,-19.99
T-shirt,2024,Q4,Oct,Sun,12,86.16,Belgium,0.04,Bank Transfer,7.98,Electronics,FedEx,Paris,4,26.66
Office Chair,2020,Q1,Mar,Wed,2,19.67,Australia,0.03,Credit Card,26.71,Apparel,FedEx,Amsterdam,33,23.85
T-shirt,2023,Q1,Mar,Tue,16,56.36,Sweden,0.49,Bank Transfer,8.07,Electronics,UPS,Berlin,1,25.13
Wall Clock,2022,Q3,Aug,Fri,13,90.21,Norway,0.38,Bank Transfer,18.25,Stationery,UPS,Rome,22,21.67
Wall Clock,2023,Q2,Apr,Sat,11,88.66,Belgium,0.18,Credit Card,21.18,Accessories,UPS,Rome,7,27.16
Backpack,2021,Q2,Jun,Tue,3,98.24,United States,0.25,Bank Transfer,18.94,Apparel,FedEx,Amsterdam,14,23.72
Wireless Mouse,2020,Q1,Feb,Sun,6,92.71,Spain,0.08,paypall,18.24,Electronics,UPS,Amsterdam,25,23.46
Desk Lamp,2024,Q1,Mar,Mon,12,49.04,France,0.02,Credit Card,14.48,Furniture,DHL,London,28,22.41
White Mug,2023,Q2,Apr,Tue,4,66.64,Belgium,0.29,Bank Transfer,12.18,Furniture,FedEx,London,48,28.96
Backpack,2020,Q1,Feb,Sat,14,99.24,Belgium,0.13,Credit Card,27.93,Electronics,Royal Mail,Rome,15,26.2
White Mug,2022,Q3,Aug,Sun,5,89.71,United States,0.01,paypall,28.6,Electronics,DHL,Rome,31,24.71
Wireless Mouse,2022,Q1,Mar,Sat,5,49.62,Norway,0.39,Credit Card,7.7,Stationery,DHL,Berlin,37,26.32
Blue Pen,2024,Q1,Jan,Wed,11,93.4,Germany,0.09,Credit Card,29.67,Apparel,Royal Mail,Amsterdam,16,25.06
USB Cable,2023,Q1,Mar,Wed,9,71.33,United Kingdom,0.34,paypall,20.32,Furniture,FedEx,Paris,31,23.77
USB Cable,2021,Q3,Aug,Sat,7,-71.28,Spain,1.551447736,Credit Card,,Accessories,DHL,,-22,-24.52
T-shirt,2023,Q4,Dec,Sun,7,34.0,Netherlands,0.32,Credit Card,25.36,Apparel,Royal Mail,Berlin,19,23.05
White Mug,2020,Q4,Oct,Thu,3,40.4,France,0.08,paypall,5.81,Accessories,DHL,Amsterdam,21,27.76
White Mug,2023,Q1,Mar,Tue,0,5.91,Portugal,0.28,paypall,17.21,Apparel,DHL,Berlin,12,22.6
Wall Clock,2021,Q2,Apr,Thu,7,34.61,France,0.02,Bank Transfer,6.01,Apparel,DHL,Berlin,39,29.57
Wireless Mouse,2020,Q4,Dec,Sat,20,22.87,United States,0.08,Credit Card,29.27,Apparel,FedEx,London,29,26.2
Wall Clock,2021,Q2,Jun,Tue,16,31.65,Belgium,0.18,Credit Card,9.41,Electronics,UPS,Rome,13,23.37
Headphones,2020,Q2,Apr,Wed,19,56.77,Italy,0.34,Credit Card,27.61,Electronics,UPS,Amsterdam,29,25.81
Wireless Mouse,2023,Q4,Dec,Sun,18,27.09,Norway,0.27,Credit Card,11.73,Apparel,Royal Mail,Rome,20,23.69
Headphones,2022,Q3,Sep,Mon,0,68.58,Germany,0.31,Credit Card,13.55,Accessories,FedEx,Amsterdam,29,22.71
USB Cable,2023,Q2,Apr,Sun,2,25.38,Germany,0.05,paypall,17.65,Accessories,DHL,Rome,48,25.56
Backpack,2024,Q1,Jan,Thu,9,26.19,Sweden,0.14,Bank Transfer,21.56,Stationery,UPS,London,31,26.38
Desk Lamp,2022,Q2,Apr,Thu,12,56.69,Australia,0.0,Credit Card,20.05,Apparel,FedEx,Paris,31,23.96
Notebook,2023,Q1,Feb,Fri,20,85.7,Belgium,0.35,paypall,29.07,Furniture,FedEx,Berlin,24,26.9
Wall Clock,2023,Q4,Dec,Sun,23,53.48,United States,0.36,paypall,,Stationery,FedEx,,-17,-24.92
Blue Pen,2021,Q4,Nov,Wed,3,5.7,Portugal,0.16,Credit Card,15.87,Furniture,FedEx,London,37,22.82
USB Cable,2023,Q1,Mar,Thu,9,87.61,Portugal,0.43,Bank Transfer,28.44,Electronics,DHL,Amsterdam,22,22.76
Wireless Mouse,2021,Q2,May,Sat,10,16.65,Germany,0.15,paypall,15.45,Stationery,FedEx,Amsterdam,30,23.53
T-shirt,2021,Q2,Apr,Tue,15,80.09,Belgium,0.38,Bank Transfer,17.61,Stationery,FedEx,Berlin,39,22.88
Wireless Mouse,2024,Q3,Aug,Tue,22,48.83,United States,0.18,paypall,10.66,Accessories,Royal Mail,Amsterdam,23,25.18
T-shirt,2020,Q1,Feb,Thu,20,81.04,Norway,0.37,paypall,26.43,Apparel,Royal Mail,,5,25.81
White Mug,2020,Q4,Nov,Mon,16,14.78,Portugal,0.17,Bank Transfer,13.4,Accessories,FedEx,Berlin,12,27.36
Blue Pen,2023,Q3,Aug,Mon,2,70.54,Portugal,0.27,Bank Transfer,26.13,Electronics,Royal Mail,Amsterdam,19,26.37
Notebook,2022,Q2,May,Fri,18,58.62,Belgium,0.21,paypall,24.4,Accessories,UPS,Paris,2,25.02
Notebook,2023,Q2,Apr,Tue,23,8.09,United States,0.41,paypall,25.54,Stationery,Royal Mail,Rome,7,28.96
Wall Clock,2023,Q3,Aug,Thu,20,77.83,United Kingdom,0.35,Credit Card,22.94,Accessories,FedEx,Rome,40,26.0
White Mug,2024,Q1,Feb,Mon,15,87.19,United States,0.0,Bank Transfer,8.17,Accessories,UPS,Rome,33,27.31
Office Chair,2020,Q3,Sep,Thu,0,62.03,France,0.27,paypall,20.62,Stationery,Royal Mail,,44,23.91
Wireless Mouse,2022,Q4,Oct,Sat,4,52.88,Australia,0.3,paypall,11.95,Accessories,UPS,Paris,4,27.11
Headphones,2020,Q3,Sep,Fri,11,31.05,United States,0.38,paypall,28.29,Accessories,Royal Mail,London,21,22.21
USB Cable,2023,Q3,Aug,Sat,15,5.75,Italy,0.08,Credit Card,11.05,Furniture,DHL,London,14,20.07
Notebook,2020,Q1,Mar,Tue,5,44.72,Australia,0.3,paypall,18.76,Stationery,Royal Mail,Rome,18,25.22
T-shirt,2020,Q4,Oct,Sun,15,82.06,Sweden,0.24,paypall,29.58,Apparel,UPS,Paris,5,25.67
USB Cable,2020,Q3,Sep,Tue,20,74.53,Australia,0.21,paypall,11.1,Accessories,Royal Mail,Berlin,12,24.59
Office Chair,2023,Q1,Mar,Sat,17,10.24,Sweden,0.02,Credit Card,17.52,Stationery,Royal Mail,Berlin,5,24.68
T-shirt,2022,Q4,Dec,Sun,20,99.53,Spain,0.08,Credit Card,24.44,Stationery,UPS,Amsterdam,5,26.48
Blue Pen,2022,Q2,May,Sat,1,12.44,Spain,0.08,Credit Card,10.49,Stationery,Royal Mail,Amsterdam,4,23.76
Backpack,2022,Q4,Oct,Fri,0,87.91,Norway,0.19,Bank Transfer,16.8,Apparel,DHL,Paris,34,21.79
White Mug,2021,Q4,Dec,Sun,8,99.99,Germany,0.27,Credit Card,,Stationery,Royal Mail,,-7,-27.23
White Mug,2022,Q2,Jun,Sun,17,-55.64,United States,0.04,Credit Card,,Accessories,DHL,,-15,-27.45
Backpack,2021,Q4,Nov,Tue,5,-1.96,Italy,1.942435906,paypall,,Accessories,UPS,,-1,-33.71
Headphones,2021,Q2,Jun,Thu,21,91.68,Portugal,0.14,paypall,28.55,Furniture,DHL,Amsterdam,3,19.47
USB Cable,2021,Q2,Apr,Fri,18,34.63,France,0.16,paypall,22.13,Electronics,DHL,Amsterdam,24,22.05
Wireless Mouse,2024,Q4,Oct,Sat,9,74.67,Spain,0.13,Credit Card,23.19,Apparel,Royal Mail,Rome,20,25.12
T-shirt,2023,Q4,Dec,Fri,3,20.34,Portugal,0.37,Bank Transfer,22.89,Apparel,DHL,Rome,13,22.53
White Mug,2022,Q2,Jun,Fri,13,78.2,United Kingdom,0.25,paypall,26.06,Stationery,DHL,Paris,21,22.53
Blue Pen,2022,Q1,Feb,Sat,16,98.35,Australia,0.17,paypall,24.6,Electronics,FedEx,Paris,44,26.14
Office Chair,2023,Q4,Dec,Mon,9,39.39,Portugal,0.25,Credit Card,8.04,Accessories,DHL,Berlin,33,25.1
Wireless Mouse,2023,Q3,Sep,Sat,2,11.33,France,0.13,Credit Card,9.48,Apparel,UPS,Berlin,29,26.71
Notebook,2023,Q2,Apr,Mon,8,33.25,United States,0.01,Credit Card,8.17,Electronics,FedEx,Rome,1,22.27
White Mug,2022,Q4,Nov,Fri,15,1.38,France,0.24,Credit Card,16.84,Apparel,DHL,Rome,10,21.64
USB Cable,2022,Q3,Sep,Fri,23,23.36,Belgium,0.11,Credit Card,,Apparel,FedEx,,-19,-24.19
Headphones,2020,Q3,Jul,Mon,3,78.76,United States,0.18,Credit Card,25.08,Furniture,UPS,,36,22.81
Headphones,2021,Q4,Dec,Wed,2,78.37,Netherlands,0.14,paypall,16.78,Stationery,FedEx,London,31,24.71
Wall Clock,2020,Q4,Dec,Thu,2,78.32,Belgium,0.22,Credit Card,14.56,Stationery,DHL,Rome,2,23.3
T-shirt,2023,Q1,Jan,Thu,0,65.46,Sweden,0.49,Bank Transfer,25.29,Apparel,FedEx,Amsterdam,44,23.42
Wall Clock,2020,Q3,Aug,Mon,15,-36.41,Sweden,1.567501564,Credit Card,,Stationery,Royal Mail,,-34,-30.02
White Mug,2022,Q3,Aug,Sun,9,4.68,Sweden,0.49,paypall,13.85,Accessories,Royal Mail,Rome,20,26.05
Blue Pen,2020,Q3,Aug,Fri,11,87.06,Norway,0.48,paypall,23.88,Stationery,Royal Mail,Paris,30,24.33
Headphones,2022,Q1,Jan,Sat,14,14.11,Netherlands,0.22,Credit Card,21.6,Stationery,UPS,Amsterdam,9,28.33
Backpack,2022,Q2,May,Mon,22,96.78,Norway,0.27,paypall,27.16,Furniture,DHL,Rome,3,24.4
Backpack,2021,Q3,Sep,Wed,12,4.22,Australia,0.5,paypall,14.94,Stationery,UPS,London,21,23.06
White Mug,2022,Q3,Sep,Mon,18,84.21,Netherlands,0.35,paypall,12.79,Stationery,Royal Mail,London,19,25.71
Backpack,2024,Q1,Mar,Mon,2,10.43,Belgium,0.39,paypall,11.87,Stationery,FedEx,London,2,27.95
USB Cable,2021,Q3,Aug,Mon,8,-43.52,France,0.04,Bank Transfer,,Stationery,UPS,,-25,-33.27
Desk Lamp,2023,Q3,Aug,Wed,9,9.26,United States,0.27,Bank Transfer,9.33,Apparel,DHL,Rome,2,24.9
USB Cable,2024,Q4,Nov,Fri,20,31.22,France,0.49,paypall,11.69,Accessories,FedEx,Rome,39,23.39
USB Cable,2020,Q3,Jul,Tue,6,9.01,Spain,0.39,Credit Card,18.25,Electronics,Royal Mail,Paris,34,21.07
Wall Clock,2023,Q2,Apr,Tue,17,52.4,Sweden,0.34,Credit Card,12.61,Stationery,DHL,Amsterdam,28,24.35
Wall Clock,2021,Q2,Jun,Sat,18,56.39,Australia,0.44,Credit Card,8.65,Electronics,UPS,Berlin,29,25.73
Headphones,2020,Q2,Apr,Wed,8,99.52,Netherlands,0.04,paypall,,Apparel,Royal Mail,,-18,-30.6
Blue Pen,2023,Q1,Mar,Mon,18,26.47,Sweden,0.18,Credit Card,,Stationery,UPS,,-19,-24.2
Desk Lamp,2022,Q1,Feb,Tue,20,49.13,Belgium,0.34,Bank Transfer,22.74,Accessories,FedEx,Paris,40,24.29
Office Chair,2020,Q2,May,Wed,13,31.16,Netherlands,0.11,Bank Transfer,,Furniture,FedEx,,-20,-27.16
Headphones,2022,Q4,Oct,Mon,12,62.76,Belgium,0.03,paypall,7.45,Stationery,FedEx,Paris,27,23.02
T-shirt,2023,Q1,Jan,Sun,15,59.39,Netherlands,0.03,Credit Card,21.89,Stationery,DHL,London,19,25.5
Wall Clock,2022,Q1,Feb,Sun,2,7.47,Germany,0.18,Credit Card,12.2,Electronics,UPS,,6,22.89
T-shirt,2021,Q4,Oct,Wed,8,39.57,Norway,0.41,Credit Card,18.73,Electronics,DHL,Berlin,38,25.24
Blue Pen,2020,Q1,Jan,Sun,20,76.55,United States,0.0,paypall,8.27,Accessories,UPS,London,24,27.29
Backpack,2024,Q2,Apr,Tue,20,38.34,United Kingdom,0.42,Credit Card,15.95,Electronics,DHL,Berlin,34,24.16
Desk Lamp,2021,Q2,May,Fri,12,37.11,United States,0.39,Bank Transfer,13.23,Accessories,FedEx,Paris,30,24.51
Notebook,2023,Q2,Jun,Sun,13,42.61,Netherlands,0.29,Credit Card,11.85,Stationery,FedEx,Amsterdam,41,27.14
T-shirt,2023,Q3,Jul,Wed,10,82.9,Belgium,0.17,paypall,21.55,Apparel,Royal Mail,London,22,25.05
Wall Clock,2022,Q4,Oct,Tue,1,78.84,Netherlands,0.2,Bank Transfer,16.47,Stationery,FedEx,Berlin,6,25.06
Wall Clock,2021,Q4,Dec,Fri,2,19.21,Belgium,0.29,Credit Card,7.32,Electronics,UPS,Berlin,9,25.0
Blue Pen,2021,Q2,Apr,Fri,21,10.35,Spain,0.25,paypall,5.3,Furniture,DHL,Paris,6,23.76
Desk Lamp,2022,Q4,Oct,Mon,3,26.06,Spain,0.38,Bank Transfer,14.28,Accessories,FedEx,Rome,3,24.74
Desk Lamp,2023,Q2,May,Wed,22,4.13,Norway,0.13,paypall,23.38,Accessories,Royal Mail,Berlin,24,26.9
White Mug,2020,Q1,Mar,Wed,2,18.19,Spain,0.25,paypall,17.99,Furniture,FedEx,,4,21.35
USB Cable,2024,Q4,Nov,Thu,16,74.35,France,0.41,Credit Card,6.86,Electronics,FedEx,Rome,27,21.49
White Mug,2024,Q3,Aug,Wed,18,95.0,Belgium,0.47,Credit Card,7.69,Furniture,Royal Mail,Amsterdam,44,23.07
White Mug,2024,Q3,Jul,Fri,5,6.72,United States,0.17,Bank Transfer,19.29,Accessories,DHL,Berlin,6,26.5
Blue Pen,2022,Q3,Sep,Sun,17,98.45,France,0.08,paypall,29.54,Stationery,FedEx,Berlin,9,21.03
Backpack,2024,Q4,Nov,Mon,23,72.2,Sweden,0.31,paypall,7.33,Electronics,Royal Mail,London,48,22.9
Wall Clock,2023,Q1,Mar,Thu,17,65.12,Spain,0.41,paypall,22.61,Electronics,FedEx,London,36,23.16
Wireless Mouse,2021,Q2,Apr,Wed,19,10.71,Portugal,0.16,Credit Card,8.41,Accessories,Royal Mail,London,36,27.28
Headphones,2022,Q4,Dec,Sun,12,45.05,Italy,0.2,Credit Card,,Furniture,UPS,,-32,-26.26
Backpack,2024,Q1,Mar,Thu,11,79.19,Germany,0.33,paypall,19.88,Electronics,UPS,Berlin,21,24.32
Wireless Mouse,2021,Q2,May,Thu,19,20.36,United Kingdom,0.44,Bank Transfer,20.34,Furniture,DHL,Rome,13,28.18
T-shirt,2024,Q3,Sep,Fri,21,95.61,Belgium,0.27,Bank Transfer,21.28,Stationery,FedEx,Paris,16,22.76
Office Chair,2023,Q1,Feb,Wed,16,30.12,United Kingdom,0.14,Bank Transfer,18.56,Furniture,FedEx,Rome,44,26.54
Office Chair,2020,Q1,Mar,Wed,16,92.71,United States,0.4,Credit Card,8.73,Electronics,Royal Mail,London,14,25.71
Backpack,2021,Q1,Mar,Sun,21,-36.43,United States,1.835257418,Bank Transfer,,Accessories,UPS,,-9,-28.72
White Mug,2024,Q3,Jul,Fri,18,32.76,Germany,0.41,Credit Card,18.11,Apparel,DHL,Amsterdam,17,24.48
Wireless Mouse,2022,Q1,Mar,Fri,16,16.09,Italy,0.33,Credit Card,15.94,Electronics,Royal Mail,Amsterdam,49,23.08
Wall Clock,2024,Q2,Apr,Tue,16,48.6,Belgium,0.43,paypall,19.25,Electronics,UPS,Berlin,44,25.63
Blue Pen,2024,Q2,May,Thu,8,31.56,Italy,0.28,Credit Card,23.13,Apparel,Royal Mail,Berlin,32,26.61
Blue Pen,2022,Q2,Apr,Fri,0,-5.3,United Kingdom,0.49,paypall,,Stationery,DHL,,-24,-13.83
Desk Lamp,2021,Q1,Mar,Sat,23,22.53,Spain,0.11,paypall,17.59,Stationery,UPS,Amsterdam,31,25.18
T-shirt,2021,Q1,Mar,Tue,5,92.2,United Kingdom,0.05,Credit Card,11.08,Electronics,Royal Mail,Berlin,12,26.11
USB Cable,2021,Q2,May,Sat,7,55.67,Germany,0.27,paypall,24.36,Furniture,UPS,Paris,44,27.32
White Mug,2021,Q1,Jan,Sun,20,89.76,United States,0.21,Bank Transfer,10.06,Electronics,Royal Mail,London,11,22.78
T-shirt,2023,Q2,Apr,Mon,2,87.86,Netherlands,0.44,Bank Transfer,28.89,Apparel,DHL,London,17,24.64
Wireless Mouse,2021,Q1,Mar,Sun,21,28.21,Sweden,0.33,Bank Transfer,8.03,Stationery,FedEx,Paris,48,24.75
USB Cable,2020,Q3,Aug,Sun,21,34.67,Belgium,0.2,Bank Transfer,5.02,Accessories,FedEx,Paris,38,23.79
Notebook,2020,Q4,Oct,Tue,17,82.76,United States,0.15,Credit Card,24.57,Apparel,FedEx,Berlin,20,24.33
Backpack,2020,Q3,Aug,Mon,7,16.18,Spain,0.03,Credit Card,,Electronics,DHL,,-10,-28.6
Wall Clock,2020,Q3,Jul,Tue,7,8.8,Italy,0.16,Bank Transfer,27.27,Electronics,DHL,,34,23.88
White Mug,2024,Q1,Mar,Sun,10,9.58,Norway,0.08,Credit Card,24.71,Stationery,FedEx,Rome,5,28.63
Office Chair,2021,Q2,May,Sat,15,-20.3,Spain,0.25,paypall,,Apparel,DHL,,-6,-22.17
Wall Clock,2021,Q2,May,Sun,16,96.61,Germany,0.35,Credit Card,9.85,Apparel,UPS,Amsterdam,40,21.82
Wireless Mouse,2021,Q2,Apr,Fri,13,76.14,Belgium,0.02,Credit Card,7.11,Electronics,UPS,Rome,12,23.74
Office Chair,2020,Q2,Jun,Fri,6,57.07,France,0.45,paypall,16.13,Stationery,UPS,,33,25.16
Wall Clock,2020,Q4,Nov,Sun,9,48.59,Belgium,0.47,Credit Card,16.04,Furniture,Royal Mail,Amsterdam,33,27.75
Notebook,2021,Q2,Jun,Thu,15,29.27,France,0.09,Bank Transfer,11.97,Electronics,DHL,Paris,25,25.86
USB Cable,2023,Q1,Jan,Thu,5,54.63,United Kingdom,0.23,paypall,24.08,Stationery,FedEx,Berlin,32,22.84
Blue Pen,2020,Q1,Mar,Fri,16,73.77,Sweden,0.32,Credit Card,26.66,Stationery,DHL,Rome,18,28.19
Office Chair,2022,Q3,Jul,Fri,6,67.06,Portugal,0.32,Bank Transfer,7.87,Stationery,DHL,Rome,2,23.83
Wireless Mouse,2020,Q4,Nov,Sun,11,-5.36,France,0.44,Bank Transfer,,Apparel,DHL,,-30,-28.14
USB Cable,2022,Q3,Aug,Tue,7,34.34,Spain,0.22,Bank Transfer,28.23,Electronics,DHL,Amsterdam,35,23.33
White Mug,2021,Q3,Sep,Thu,17,71.98,Belgium,0.49,Bank Transfer,17.2,Stationery,Royal Mail,Rome,41,26.71
Desk Lamp,2021,Q3,Sep,Wed,4,12.57,Belgium,0.35,Bank Transfer,14.47,Stationery,FedEx,Amsterdam,34,24.57
Desk Lamp,2020,Q2,May,Sun,16,23.21,Spain,0.1,paypall,17.6,Stationery,UPS,Rome,41,24.83
Notebook,2021,Q2,May,Mon,3,31.28,Italy,0.01,Bank Transfer,29.75,Furniture,Royal Mail,London,41,20.02
Office Chair,2022,Q2,Apr,Wed,19,86.69,United Kingdom,0.22,Credit Card,12.12,Accessories,FedEx,Paris,32,22.37
Wall Clock,2024,Q2,Jun,Tue,14,52.75,Spain,0.41,Bank Transfer,26.88,Stationery,FedEx,London,20,27.91
USB Cable,2023,Q4,Nov,Sun,11,22.86,Norway,0.35,Bank Transfer,11.25,Stationery,Royal Mail,Paris,22,25.43
Backpack,2021,Q2,Jun,Thu,7,64.45,Sweden,0.34,Bank Transfer,24.51,Furniture,DHL,Rome,44,23.15
T-shirt,2021,Q2,Jun,Tue,20,38.41,Belgium,0.1,paypall,15.47,Furniture,FedEx,Paris,47,29.64
Wall Clock,2024,Q2,May,Sun,18,42.93,Sweden,0.31,paypall,11.6,Accessories,Royal Mail,Rome,26,23.7
Desk Lamp,2023,Q3,Aug,Mon,4,98.84,Italy,0.34,Credit Card,27.26,Stationery,Royal Mail,Rome,28,24.47
Backpack,2022,Q3,Jul,Wed,18,73.1,Australia,0.14,paypall,,Apparel,DHL,,-39,-19.71
Office Chair,2021,Q2,May,Mon,18,25.35,Belgium,0.31,Bank Transfer,22.33,Electronics,DHL,London,46,26.27
Blue Pen,2021,Q4,Dec,Sat,12,71.03,United Kingdom,0.27,Credit Card,29.54,Furniture,FedEx,London,42,24.31
T-shirt,2020,Q1,Feb,Tue,10,1.35,United States,0.03,Bank Transfer,,Stationery,FedEx,,-36,-25.02
USB Cable,2020,Q2,Apr,Sat,1,43.51,Spain,0.22,Credit Card,6.29,Furniture,FedEx,London,25,23.92
Office Chair,2023,Q1,Mar,Sun,10,12.63,Germany,0.4,Bank Transfer,20.58,Stationery,UPS,Paris,15,26.31
Backpack,2024,Q3,Aug,Thu,7,26.66,Spain,0.13,Bank Transfer,6.62,Furniture,DHL,Rome,38,26.26
Backpack,2021,Q3,Sep,Wed,9,55.13,Belgium,0.31,Credit Card,20.17,Apparel,DHL,Rome,48,26.61
Backpack,2023,Q3,Aug,Sat,8,58.71,Spain,0.29,Bank Transfer,10.75,Electronics,DHL,London,41,24.17
White Mug,2024,Q3,Sep,Tue,17,46.33,Norway,0.07,paypall,15.5,Apparel,UPS,Paris,6,26.19
Notebook,2020,Q2,May,Mon,8,86.15,Australia,0.12,paypall,12.27,Stationery,UPS,Paris,41,23.92
Backpack,2021,Q4,Dec,Wed,15,59.36,Spain,0.5,Bank Transfer,27.41,Electronics,Royal Mail,London,6,25.4
Notebook,2022,Q1,Feb,Thu,3,51.15,United States,0.26,Bank Transfer,8.73,Accessories,DHL,London,16,26.31
USB Cable,2022,Q2,Jun,Mon,1,-82.15,Portugal,1.480142367,paypall,,Stationery,Royal Mail,,-12,-28.72
Wireless Mouse,2022,Q2,May,Thu,20,18.36,Belgium,0.45,Credit Card,11.2,Stationery,FedEx,London,41,25.29
USB Cable,2024,Q2,Apr,Tue,9,12.44,Belgium,0.13,paypall,16.47,Apparel,Royal Mail,Rome,28,22.23
Wireless Mouse,2022,Q4,Dec,Fri,5,-98.73,Netherlands,1.854193169,paypall,,Apparel,UPS,,-24,-22.39
Blue Pen,2023,Q1,Feb,Mon,1,91.87,Belgium,0.43,Credit Card,13.17,Furniture,UPS,London,34,27.13
Notebook,2022,Q4,Nov,Fri,22,24.45,France,0.14,Credit Card,24.12,Stationery,UPS,Berlin,20,27.57
T-shirt,2023,Q2,May,Mon,22,7.27,Italy,0.31,paypall,29.23,Stationery,DHL,London,38,27.8
Notebook,2023,Q4,Dec,Fri,5,46.14,Sweden,0.06,Credit Card,8.08,Accessories,Royal Mail,Rome,6,21.77
USB Cable,2021,Q1,Jan,Wed,5,78.64,United Kingdom,0.16,Credit Card,24.57,Electronics,DHL,London,27,21.9
Headphones,2022,Q1,Jan,Fri,15,78.56,Belgium,0.33,Credit Card,13.32,Electronics,FedEx,Berlin,39,21.21
White Mug,2024,Q3,Aug,Thu,9,59.36,Belgium,0.44,Credit Card,26.92,Electronics,UPS,Berlin,8,24.83
USB Cable,2021,Q2,May,Sun,12,60.34,United Kingdom,0.3,Credit Card,5.13,Stationery,Royal Mail,Amsterdam,47,21.13
USB Cable,2024,Q3,Aug,Wed,14,21.58,United Kingdom,0.0,Bank Transfer,9.05,Stationery,UPS,Berlin,42,25.53
Headphones,2020,Q4,Oct,Thu,6,41.42,Netherlands,0.26,Credit Card,15.66,Accessories,FedEx,Amsterdam,33,22.53
Office Chair,2022,Q4,Nov,Mon,4,24.86,Netherlands,0.48,Bank Transfer,28.54,Furniture,UPS,Rome,7,24.92
Wall Clock,2024,Q4,Dec,Sat,1,8.78,Portugal,0.22,Credit Card,25.13,Stationery,Royal Mail,Rome,17,24.26
Wall Clock,2023,Q4,Dec,Sun,23,85.47,Netherlands,0.4,paypall,17.51,Electronics,FedEx,Berlin,37,22.31
T-shirt,2023,Q2,May,Tue,5,-19.59,Belgium,1.348108174,Credit Card,,Accessories,Royal Mail,,-21,-22.79
Office Chair,2022,Q4,Nov,Wed,8,45.35,Italy,0.33,Bank Transfer,10.91,Electronics,Royal Mail,Amsterdam,6,30.43
USB Cable,2024,Q4,Dec,Wed,8,97.72,United Kingdom,0.41,Credit Card,16.17,Apparel,DHL,Berlin,21,25.0
Desk Lamp,2021,Q4,Nov,Tue,19,83.14,France,0.14,paypall,17.15,Stationery,FedEx,London,44,27.01
